Unnamed: 0,orig_plate,orig_row,orig_col,orig_col_row,keio_name,genotype,new_plate,new_row,new_col,new_col_row,successfully_transferred
0,1,A,1,"['A', 1]",JW1950,hchA,1,A,1,"['A', 1]",yes
1,1,C,1,"['C', 1]",JW2201,ada,1,B,1,"['B', 1]",yes
2,1,D,1,"['D', 1]",JW4077,adiY,1,C,1,"['C', 1]",yes
3,1,E,1,"['E', 1]",JW0553,appY,1,D,1,"['D', 1]",yes
4,1,F,1,"['F', 1]",JW3206,argR,1,E,1,"['E', 1]",yes
5,1,G,1,"['G', 1]",JW3721,asnC,1,F,1,"['F', 1]",yes
6,1,H,1,"['H', 1]",JW0305,betI,1,G,1,"['G', 1]",yes
7,1,A,2,"['A', 2]",JW3701,bglG,1,H,1,"['H', 1]",yes
8,1,B,2,"['B', 2]",JW1262,btuR,1,A,2,"['A', 2]",yes
9,1,C,2,"['C', 2]",JW4094,cadC,1,B,2,"['B', 2]",yes
10,1,D,2,"['D', 2]",JW1966,cbl,1,C,2,"['C', 2]",yes
11,1,E,2,"['E', 2]",JW1724,chbR,1,D,2,"['D', 2]",yes
12,1,G,2,"['G', 2]",JW1023,csgD,1,E,2,"['E', 2]",yes
13,1,H,2,"['H', 2]",JW5894,cynR,1,F,2,"['F', 2]",yes
14,1,A,3,"['A', 3]",JW3905,cytR,1,G,2,"['G', 2]",yes
15,1,B,3,"['B', 3]",JW0824,deoR,1,H,2,"['H', 2]",yes
16,1,C,3,"['C', 3]",JW2361,dsdC,1,A,3,"['A', 3]",yes
17,1,D,3,"['D', 3]",JW3046,ebgR,1,B,3,"['B', 3]",yes
18,1,E,3,"['E', 3]",JW3232,envR,1,C,3,"['C', 3]",yes
19,1,F,3,"['F', 3]",JW0555,envY,1,D,3,"['D', 3]",yes
20,1,G,3,"['G', 3]",JW1176,fadR,1,E,3,"['E', 3]",yes
21,1,H,3,"['H', 3]",JW3229,fis,1,F,3,"['F', 3]",yes
22,1,A,4,"['A', 4]",JW1328,fnr,1,G,3,"['G', 3]",yes
23,1,B,4,"['B', 4]",JW2776,fucR,1,H,3,"['H', 3]",yes
24,1,C,4,"['C', 4]",JW2805,galR,1,A,4,"['A', 4]",yes
25,1,F,4,"['F', 4]",JW0895,ihfB,1,B,4,"['B', 4]",yes
26,1,H,4,"['H', 4]",JW3964,hupA,1,C,4,"['C', 4]",yes
27,1,A,5,"['A', 5]",JW0430,hupB,1,D,4,"['D', 4]",yes
28,1,B,5,"['B', 5]",JW2883,argP,1,E,4,"['E', 4]",yes
29,1,C,5,"['C', 5]",JW4221,idnR,1,F,4,"['F', 4]",yes
30,1,D,5,"['D', 5]",JW3746,ilvY,1,G,4,"['G', 4]",yes
31,1,E,5,"['E', 5]",JW0075,leuO,1,H,4,"['H', 4]",yes
32,1,F,5,"['F', 5]",JW0872,lrp,1,A,5,"['A', 5]",yes
33,1,G,5,"['G', 5]",JW2807,lysR,1,B,5,"['B', 5]",yes
34,1,H,5,"['H', 5]",JW1612,malI,1,C,5,"['C', 5]",yes
35,1,C,6,"['C', 6]",JW4079,melR,1,D,5,"['D', 5]",yes
36,1,D,6,"['D', 6]",JW3909,metJ,1,E,5,"['E', 5]",yes
37,1,E,6,"['E', 6]",JW3804,metR,1,F,5,"['F', 5]",yes
