Unnamed: 0,orig_plate,orig_row,orig_col,orig_col_row,keio_name,genotype,new_plate,new_row,new_col,new_col_row,successfully_transferred
1824,24,F,1,"['F', 1]",JW3324,fic,20,A,1,"['A', 1]",no
1825,24,G,1,"['G', 1]",JW3513,dppA,20,B,1,"['B', 1]",no
1826,24,H,1,"['H', 1]",JW3584,secB,20,C,1,"['C', 1]",no
1827,24,A,2,"['A', 2]",JW3684,trmE,20,D,1,"['D', 1]",no
1828,24,B,2,"['B', 2]",JW0116,speD,20,E,1,"['E', 1]",no
1829,24,C,2,"['C', 2]",JW0181,ldcC,20,F,1,"['F', 1]",no
1830,24,D,2,"['D', 2]",JW0202,gloB,20,G,1,"['G', 1]",no
1831,24,E,2,"['E', 2]",JW0315,yahI,20,H,1,"['H', 1]",no
1832,24,F,2,"['F', 2]",JW0330,cynT,20,A,2,"['A', 2]",no
1833,24,G,2,"['G', 2]",JW0331,cynS,20,B,2,"['B', 2]",no
1834,24,H,2,"['H', 2]",JW0469,ushA,20,C,2,"['C', 2]",no
1835,24,A,3,"['A', 3]",JW0495,gcl,20,D,2,"['D', 2]",no
1836,24,B,3,"['B', 3]",JW0510,ybcF,20,E,2,"['E', 2]",no
1837,24,C,3,"['C', 3]",JW0661,nagD,20,F,2,"['F', 2]",no
1838,24,D,3,"['D', 3]",JW0663,nagA,20,G,2,"['G', 2]",no
1839,24,E,3,"['E', 3]",JW0664,nagB,20,H,2,"['H', 2]",no
1840,24,F,3,"['F', 3]",JW0680,speF,20,A,3,"['A', 3]",no
1841,24,G,3,"['G', 3]",JW0808,ybiY,20,B,3,"['B', 3]",no
1842,24,H,3,"['H', 3]",JW0963,appA,20,C,3,"['C', 3]",no
1843,24,A,4,"['A', 4]",JW0987,agp,20,D,3,"['D', 3]",no
1844,24,B,4,"['B', 4]",JW0999,putA,20,E,3,"['E', 3]",no
1845,24,C,4,"['C', 4]",JW1005,phoH,20,F,3,"['F', 3]",no
1846,24,D,4,"['D', 4]",JW1178,dadA,20,G,3,"['G', 3]",no
1847,24,E,4,"['E', 4]",JW1179,dadX,20,H,3,"['H', 3]",no
1848,24,F,4,"['F', 4]",JW1310,ycjU,20,A,4,"['A', 4]",no
1849,24,H,4,"['H', 4]",JW1594,pntB,20,B,4,"['B', 4]",no
1850,24,A,5,"['A', 5]",wild_type,wild_type,20,C,4,"['C', 4]",no
1851,24,B,5,"['B', 5]",JW1611,hdhA,20,D,4,"['D', 4]",no
1852,24,C,5,"['C', 5]",JW1643,gloA,20,E,4,"['E', 4]",no
1853,24,D,5,"['D', 5]",wild_type,wild_type,20,F,4,"['F', 4]",no
1854,24,E,5,"['E', 5]",JW1803,sdaA,20,G,4,"['G', 4]",no
1855,24,F,5,"['F', 5]",JW2010,ugd,20,H,4,"['H', 4]",no
1856,24,G,5,"['G', 5]",wild_type,wild_type,20,A,5,"['A', 5]",no
1857,24,H,5,"['H', 5]",JW2024,rfbA,20,B,5,"['B', 5]",no
1858,24,A,6,"['A', 6]",JW2025,rfbD,20,C,5,"['C', 5]",no
1859,24,B,6,"['B', 6]",JW2026,rfbB,20,D,5,"['D', 5]",no
1860,24,C,6,"['C', 6]",JW2027,galF,20,E,5,"['E', 5]",no
1861,24,D,6,"['D', 6]",JW2033,cpsG,20,F,5,"['F', 5]",no
1862,24,E,6,"['E', 6]",JW2037,fcl,20,G,5,"['G', 5]",no
1863,24,F,6,"['F', 6]",JW2038,gmd,20,H,5,"['H', 5]",no
1864,24,G,6,"['G', 6]",JW2233,glpQ,20,A,6,"['A', 6]",no
1865,24,H,6,"['H', 6]",JW2363,dsdA,20,B,6,"['B', 6]",no
1866,24,A,7,"['A', 7]",JW2487,ppx,20,C,6,"['C', 6]",no
1867,24,B,7,"['B', 7]",JW2525,hcaB,20,D,6,"['D', 6]",no
1868,24,C,7,"['C', 7]",JW2636,gabD,20,E,6,"['E', 6]",no
1869,24,D,7,"['D', 7]",JW2720,cysC,20,F,6,"['F', 6]",no
1870,24,E,7,"['E', 7]",JW2721,cysN,20,G,6,"['G', 6]",no
1871,24,F,7,"['F', 7]",JW2722,cysD,20,H,6,"['H', 6]",no
1872,24,G,7,"['G', 7]",JW2732,cysH,20,A,7,"['A', 7]",no
1873,24,H,7,"['H', 7]",JW2733,cysI,20,B,7,"['B', 7]",no
1874,24,A,8,"['A', 8]",JW2734,cysJ,20,C,7,"['C', 7]",no
1875,24,B,8,"['B', 8]",JW2759,gudX,20,D,7,"['D', 7]",no
1876,24,C,8,"['C', 8]",JW2768,sdaB,20,E,7,"['E', 7]",no
1877,24,D,8,"['D', 8]",JW2842,yqeA,20,F,7,"['F', 7]",no
1878,24,E,8,"['E', 8]",JW2871,gcvP,20,G,7,"['G', 7]",no
1879,24,F,8,"['F', 8]",JW2872,gcvH,20,H,7,"['H', 7]",no
1880,24,G,8,"['G', 8]",JW2873,gcvT,20,A,8,"['A', 8]",no
1881,24,H,8,"['H', 8]",JW2905,speA,20,B,8,"['B', 8]",no
1882,24,A,9,"['A', 9]",JW2924,ansB,20,C,8,"['C', 8]",no
1883,24,B,9,"['B', 9]",JW2946,glcD,20,D,8,"['D', 8]",no
1884,24,C,9,"['C', 9]",JW2947,glcC,20,E,8,"['E', 8]",no
1885,24,D,9,"['D', 9]",JW2956,gss,20,F,8,"['F', 8]",no
1886,24,E,9,"['E', 9]",JW2972,yghA,20,G,8,"['G', 8]",no
1887,24,F,9,"['F', 9]",JW3143,glmM,20,H,8,"['H', 8]",no
1888,24,G,9,"['G', 9]",JW3181,gltF,20,A,9,"['A', 9]",no
1889,24,H,9,"['H', 9]",JW3192,nanE,20,B,9,"['B', 9]",no
1890,24,A,10,"['A', 10]",JW3300,chiA,20,C,9,"['C', 9]",no
1891,24,B,10,"['B', 10]",JW3414,ugpQ,20,D,9,"['D', 9]",no
1892,24,D,10,"['D', 10]",JW3553,sgbH,20,E,9,"['E', 9]",no
1893,24,E,10,"['E', 10]",JW3591,tdh,20,F,9,"['F', 9]",no
1894,24,F,10,"['F', 10]",JW3592,kbl,20,G,9,"['G', 9]",no
1895,24,G,10,"['G', 10]",JW5594,aslB,20,H,9,"['H', 9]",no
1896,24,H,10,"['H', 10]",JW3773,aslA,20,A,10,"['A', 10]",no
1897,24,A,11,"['A', 11]",JW3794,pldA,20,B,10,"['B', 10]",no
1898,24,B,11,"['B', 11]",JW5584,pldB,20,C,10,"['C', 10]",no
1899,24,C,11,"['C', 11]",JW3913,metF,20,D,10,"['D', 10]",no
1900,24,D,11,"['D', 11]",JW4053,phnP,20,E,10,"['E', 10]",no
1901,24,E,11,"['E', 11]",JW3866,fdhD,20,F,10,"['F', 10]",no
1902,24,F,11,"['F', 11]",JW3895,fpr,20,G,10,"['G', 10]",no
1903,24,G,11,"['G', 11]",JW4031,nrfA,20,H,10,"['H', 10]",no
1904,24,H,11,"['H', 11]",JW4033,nrfC,20,A,11,"['A', 11]",no
1905,24,A,12,"['A', 12]",JW4034,nrfD,20,B,11,"['B', 11]",no
1906,24,B,12,"['B', 12]",JW4036,nrfF,20,C,11,"['C', 11]",no
1907,24,C,12,"['C', 12]",JW4037,nrfG,20,D,11,"['D', 11]",no
1908,24,D,12,"['D', 12]",JW4040,fdhF,20,E,11,"['E', 11]",no
1909,24,E,12,"['E', 12]",JW4198,treC,20,F,11,"['F', 11]",no
1910,24,F,12,"['F', 12]",JW4222,idnT,20,G,11,"['G', 11]",no
1911,24,G,12,"['G', 12]",JW4223,idnO,20,H,11,"['H', 11]",no
1912,24,H,12,"['H', 12]",JW4224,idnD,20,A,12,"['A', 12]",no
1913,25,A,1,"['A', 1]",JW4225,idnK,20,B,12,"['B', 12]",no
1914,25,B,1,"['B', 1]",JW4285,uxuA,20,C,12,"['C', 12]",no
1915,25,C,1,"['C', 1]",JW4286,uxuB,20,D,12,"['D', 12]",no
1916,25,D,1,"['D', 1]",JW0035,caiD,20,E,12,"['E', 12]",no
