,0,1,2,3,4,5,6,7,8,9,10,11
0,JW1950,JW1262,JW2361,JW2805,JW0872,JW0662,JW4024,JW4287,JW1702,JW0419,JW0714,JW1268
1,hchA,btuR,dsdC,galR,lrp,nagC,soxR,uxuR,ihfA,cyoD,sdhB,acnA
2,JW2201,JW4094,JW3046,JW0895,JW2807,JW3195,JW4023,JW2396,JW3732,JW0420,JW0716,JW1413
3,ada,cadC,ebgR,ihfB,lysR,nanR,soxS,xapR,rbsR,cyoC,sucB,gapC
4,JW4077,JW1966,JW3232,JW3964,JW1612,JW0019,JW2644,JW3254,JW1901,JW0421,JW0717,JW5906
5,adiY,cbl,envR,hupA,malI,nhaR,stpA,zntR,sdiA,cyoB,sucC,gapC
6,JW0553,JW1724,JW0555,JW0430,JW4079,JW0109,JW3089,JW0198,JW2676,JW0422,JW0739,JW1603
7,appY,chbR,envY,hupB,melR,pdhR,tdcA,yafC,srlR,cyoA,galM,fumC
8,JW3206,JW1023,JW1176,JW2883,JW3909,JW0244,JW4200,JW0596,JW0007,JW0506,JW0886,JW1604
9,argR,csgD,fadR,argP,metJ,perR,treR,ybdO,talB,fdrA,pflB,fumA
10,JW3721,JW5894,JW3229,JW4221,JW3804,JW4063,JW4356,JW0624,JW0111,JW0711,JW0960,JW1666
11,asnC,cynR,fis,idnR,metR,phnF,trpR,ybeF,aceF,sdhC,appC,pykF
12,JW0305,JW3905,JW1328,JW3746,JW0337,JW1650,JW1316,JW5917,JW0114,JW0712,JW0961,JW1841
13,betI,cytR,fnr,ilvY,mhpR,purR,tyrR,rcsC,acnB,sdhD,appB,zwf
14,JW3701,JW0824,JW2776,JW0075,JW1967,JW3877,JW1610,JW0078,JW0324,JW0713,JW1228,JW1843
15,bglG,deoR,fucR,leuO,nac,rhaR,uidR,fruR,prpC,sdhA,adhE,pykA
0,JW2011,JW2279,JW0563,JW3923,JW4113,JW0612,JW1601,JW2213,JW3169,JW3882,JW4361,JW3077
1,gnd,nuoF,cusB,pflD,frdC,citB,rstB,atoS,rpoN,cpxA,creB,yhaK
2,JW2271,JW2280,JW2943,JW3928,JW4114,JW0683,JW1871,JW2366,JW5536,JW3883,JW4362,JW1644
3,nuoN,nuoE,glcB,ppc,frdB,kdpD,cheY,evgA,arcB,cpxR,creC,rnt
4,JW2272,JW5875,JW3205,JW3974,JW4115,JW0797,JW1872,JW2367,JW3368,JW3967,JW4364,JW2294
5,nuoM,nuoB,mdh,aceB,frdA,dps,cheB,evgS,ompR,zraS,arcA,pta
6,JW2273,JW2283,JW3343,JW3975,JW4346,JW0980,JW1877,JW2453,JW3624,JW3968,JW3021,JW0855
7,nuoL,nuoA,yhfW,aceA,deoB,torR,cheA,narQ,rpoZ,zraR,glgS,poxB
8,JW2274,JW2385,JW3349,JW3985,JW4358,JW1116,JW1899,JW2538,JW3643,JW4073,JW1186,JW1375
9,nuoK,glk,rpe,pgi,ytjC,phoP,uvrY,yfhA,uhpB,basS,treA,ldhA
10,JW2275,JW2447,JW3587,JW4051,JW0389,JW1212,JW1951,JW2757,JW3644,JW4074,JW2034,JW2121
11,nuoJ,maeB,gpmI,rpiB,phoB,narL,yedV,barA,uhpA,basR,cpsB,dld
12,JW2277,JW2448,JW3887,JW4083,JW0390,JW1213,JW2181,JW2993,JW3839,JW4085,JW3730,JW3580
13,nuoH,talA,pfkA,fumB,phoR,narX,narP,qseB,glnG,dcuR,rbsB,lldD
14,JW2278,JW2449,JW3918,JW4112,JW0611,JW1600,JW2205,JW2994,JW3840,JW4086,JW1235,JW0675
15,nuoG,tktB,fsaB,frdD,citA,rstA,rcsB,qseC,glnL,dcuS,oppA,pgm
0,JW0710,JW3703,JW1874,JW0318,JW2293,JW2633,JW0554,JW1088,JW0561,JW2815,JW2144,JW1645
1,gltA,pstB,tap,yahL,ackA,yqaD,ompT,fhuE,cusC,yqeI,yeiE,lhr
2,JW0723,JW0401,JW0945,JW0110,JW2369,JW0449,JW0755,JW2462,JW3996,JW2818,JW3557,JW3753
3,cydB,tsx,helD,aceE,yfdV,hha,ybhC,nlpB,lamB,ygeF,yiaU,rhlB
4,JW5478,JW2096,JW5905,JW0112,JW2373,JW1502,JW1010,JW0940,JW1499,JW2824,JW3689,JW2560
5,tktA,yehB,hrpA,lpd,ypdI,ydeU,ycdS,ompA,ydeT,ygeL,yidZ,srmB
6,JW2334,JW2044,JW0764,JW4191,JW2421,JW2142,JW3556,JW2203,JW4275,JW0120,JW4290,JW1797
7,yfcT,wcaA,moaA,fbp,yfeU,cirA,yiaT,ompC,fimB,gcd,yjiE,yoaA
8,JW2342,JW3285,JW0117,JW0560,JW2497,JW2784,JW1795,JW0912,JW5780,JW4195,JW1587,JW0104
9,yfdF,gspA,speE,cusR,yfgM,mltA,yeaY,ompF,fimD,cybC,ynfL,ppdD
10,JW0564,JW3354,JW0530,JW3367,JW2585,JW2671,JW3474,JW1371,JW4276,JW3896,JW1337,JW0145
11,cusA,hofQ,renD,envZ,yfiN,mltB,slp,ompN,fimE,glpX,dbpA,mrcB
