,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
40,JW1950,JW3701,JW3905,JW1328,JW0430,,JW0662,JW3877,JW1316,JW5917,JW0111,JW0711
41,hchA,bglG,cytR,fnr,hupB,,nagC,rhaR,tyrR,rcsC,aceF,sdhC
42,,JW1262,JW0824,JW2776,JW2883,,JW3195,,JW1610,,JW0114,JW0712
43,,btuR,deoR,fucR,argP,,nanR,,uidR,,acnB,sdhD
44,JW2201,JW4094,JW2361,JW2805,JW4221,JW4079,JW0019,JW4024,JW4287,JW0078,JW0324,JW0713
45,ada,cadC,dsdC,galR,idnR,melR,nhaR,soxR,uxuR,fruR,prpC,sdhA
46,JW4077,JW1966,JW3046,,JW3746,JW3909,JW0109,JW4023,JW2396,JW1702,JW0419,JW0714
47,adiY,cbl,ebgR,,ilvY,metJ,pdhR,soxS,xapR,ihfA,cyoD,sdhB
48,JW0553,JW1724,JW3232,,JW0075,JW3804,JW0244,JW2644,JW3254,JW3732,JW0420,
49,appY,chbR,envR,,leuO,metR,perR,stpA,zntR,rbsR,cyoC,
50,JW3206,,JW0555,JW0895,JW0872,JW0337,JW4063,JW3089,JW0198,JW1901,JW0421,JW0716
51,argR,,envY,ihfB,lrp,mhpR,phnF,tdcA,yafC,sdiA,cyoB,sucB
52,JW3721,JW1023,JW1176,,JW2807,JW1967,,JW4200,JW0596,JW2676,JW0422,JW0717
53,asnC,csgD,fadR,,lysR,nac,,treR,ybdO,srlR,cyoA,sucC
54,JW0305,JW5894,JW3229,JW3964,JW1612,,JW1650,JW4356,JW0624,JW0007,JW0506,JW0739
55,betI,cynR,fis,hupA,malI,,purR,trpR,ybeF,talB,fdrA,galM
59,,JW1228,,JW2273,JW5875,JW3205,JW3923,JW4112,,,JW1872,JW2213
60,,adhE,,nuoL,nuoB,mdh,pflD,frdD,,,cheB,atoS
61,,JW1268,,JW2274,JW2283,JW3343,,JW4113,JW0611,JW1116,JW1877,
62,,acnA,,nuoK,nuoA,yhfW,,frdC,citA,phoP,cheA,
63,,JW1413,JW1841,JW2275,JW2385,JW3349,JW3928,JW4114,JW0612,JW1212,JW1899,JW2366
64,,gapC,zwf,nuoJ,glk,rpe,ppc,frdB,citB,narL,uvrY,evgA
65,JW0886,JW5906,JW1843,,JW2447,,JW3974,JW4115,,JW1213,JW1951,JW2367
66,pflB,gapC,pykA,,maeB,,aceB,frdA,,narX,yedV,evgS
67,,,JW2011,JW2277,JW2448,JW3587,JW3975,JW4346,JW0683,,,JW2453
68,,,gnd,nuoH,talA,gpmI,aceA,deoB,kdpD,,,narQ
69,JW0960,JW1603,,JW2278,JW2449,JW3887,JW3985,JW4358,JW0797,JW1600,,JW2538
70,appC,fumC,,nuoG,tktB,pfkA,pgi,ytjC,dps,rstA,,yfhA
71,JW0961,JW1604,JW2271,JW2279,JW0563,,JW4051,JW0389,,JW1601,JW2181,
72,appB,fumA,nuoN,nuoF,cusB,,rpiB,phoB,,rstB,narP,
73,,JW1666,JW2272,JW2280,JW2943,JW3918,JW4083,JW0390,JW0980,JW1871,JW2205,
74,,pykF,nuoM,nuoE,glcB,fsaB,fumB,phoR,torR,cheY,rcsB,
78,JW2757,JW3644,JW4074,JW1186,JW0855,JW5478,JW0401,JW3043,JW0100,JW0560,,
79,barA,uhpA,basR,treA,poxB,tktA,tsx,aer,coaE,cusR,,
80,JW2993,JW3839,JW4085,JW2034,JW1375,JW2334,JW2096,JW1874,JW0243,JW3367,JW2497,JW2629
81,qseB,glnG,dcuR,cpsB,ldhA,yfcT,yehB,tap,ykfA,envZ,yfgM,ypjB
82,JW2994,JW3840,JW4086,JW3730,JW2121,JW2342,JW2044,,,JW3393,,
83,qseC,glnL,dcuS,rbsB,dld,yfdF,wcaA,,,glgC,,
84,JW3169,JW3882,JW4361,JW1235,JW3580,,,JW0945,,JW2486,,
85,rpoN,cpxA,creB,oppA,lldD,,,helD,,ppk,,
86,JW5536,JW3883,JW4362,JW3077,JW0675,JW0564,,JW5905,JW0318,JW2293,JW2585,JW2633
87,arcB,cpxR,creC,yhaK,pgm,cusA,,hrpA,yahL,ackA,yfiN,yqaD
88,JW3368,JW3967,JW4364,JW1644,JW0710,JW1771,JW3285,JW0764,JW0110,JW2369,,
89,ompR,zraS,arcA,rnt,gltA,mipA,gspA,moaA,aceE,yfdV,,
90,JW3624,JW3968,JW3021,,JW0723,JW0146,JW3354,JW0117,JW0112,JW2373,,JW0449
91,rpoZ,zraR,glgS,,cydB,fhuA,hofQ,speE,lpd,ypdI,,hha
92,JW3643,JW4073,,JW2294,,JW3703,JW3454,JW0530,JW4191,JW2421,JW2621,
93,uhpB,basS,,pta,,pstB,yhiI,renD,fbp,yfeU,yfjV,
97,,JW2142,JW0755,,JW2047,,,JW5896,JW1587,JW0104,JW0483,JW1113
98,,cirA,ybhC,,wza,,,ybhD,ynfL,ppdD,tesA,pepT
99,,,JW1010,JW1088,JW0790,JW3113,JW2824,,JW1337,JW0145,,
100,,,ycdS,fhuE,fiu,yraJ,ygeL,,dbpA,mrcB,,
101,,JW2784,JW3556,,JW0561,,,JW1788,JW0058,JW0157,JW0627,JW1172
102,,mltA,yiaT,,cusC,,,yeaT,hepA,degP,dacA,umuD
103,,JW2671,JW1795,JW2462,JW3996,,JW0120,JW2144,JW0144,JW0227,,
104,,mltB,yeaY,nlpB,lamB,,gcd,yeiE,hrpB,pepD,,
105,,,JW3474,JW0940,JW1499,JW2762,,,JW1645,JW0322,JW0840,JW1264
106,,,slp,ompA,ydeT,yqcB,,,lhr,prpR,potH,sohB
107,,JW0731,,JW2203,JW4275,JW2815,JW4195,JW3557,JW3753,JW0427,JW0866,
108,,pal,,ompC,fimB,yqeI,cybC,yiaU,rhlB,clpP,clpA,
